0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,
4.58E+04,4.34E+04,4.10E+04,3.85E+04,3.61E+04,3.37E+04,3.12E+04,2.88E+04,2.64E+04,2.39E+04,2.15E+04,1.91E+04,1.66E+04,1.42E+04,1.18E+04,9.35E+03,6.92E+03,4.49E+03,2.06E+03,-3.70E+02,-2.80E+03,
3.90E+04,3.68E+04,3.46E+04,3.24E+04,3.02E+04,2.80E+04,2.58E+04,2.36E+04,2.14E+04,1.93E+04,1.71E+04,1.49E+04,1.27E+04,1.05E+04,8.28E+03,6.08E+03,3.89E+03,1.69E+03,-5.02E+02,-2.70E+03,-4.89E+03,
3.44E+04,3.25E+04,3.06E+04,2.86E+04,2.67E+04,2.48E+04,2.29E+04,2.09E+04,1.90E+04,1.71E+04,1.52E+04,1.32E+04,1.13E+04,9.40E+03,7.48E+03,5.55E+03,3.63E+03,1.70E+03,-2.21E+02,-2.15E+03,-4.07E+03,
2.67E+04,2.50E+04,2.33E+04,2.16E+04,1.99E+04,1.82E+04,1.65E+04,1.48E+04,1.31E+04,1.14E+04,9.67E+03,7.96E+03,6.26E+03,4.55E+03,2.84E+03,1.14E+03,-5.70E+02,-2.28E+03,-3.98E+03,-5.69E+03,-7.40E+03,
2.84E+04,2.70E+04,2.55E+04,2.41E+04,2.26E+04,2.12E+04,1.97E+04,1.82E+04,1.68E+04,1.53E+04,1.39E+04,1.24E+04,1.10E+04,9.53E+03,8.07E+03,6.62E+03,5.17E+03,3.72E+03,2.26E+03,8.10E+02,-6.43E+02,
2.24E+04,2.12E+04,1.99E+04,1.87E+04,1.75E+04,1.62E+04,1.50E+04,1.37E+04,1.25E+04,1.13E+04,1.00E+04,8.79E+03,7.55E+03,6.31E+03,5.07E+03,3.83E+03,2.60E+03,1.36E+03,1.19E+02,-1.12E+03,-2.36E+03,
1.90E+04,1.80E+04,1.70E+04,1.60E+04,1.50E+04,1.40E+04,1.30E+04,1.20E+04,1.10E+04,9.99E+03,9.00E+03,8.00E+03,7.00E+03,6.00E+03,5.01E+03,4.01E+03,3.01E+03,2.01E+03,1.01E+03,1.53E+01,-9.83E+02,
1.49E+04,1.42E+04,1.34E+04,1.26E+04,1.18E+04,1.11E+04,1.03E+04,9.53E+03,8.76E+03,7.99E+03,7.22E+03,6.45E+03,5.68E+03,4.91E+03,4.14E+03,3.36E+03,2.59E+03,1.82E+03,1.05E+03,2.79E+02,-4.92E+02,
1.15E+04,1.09E+04,1.04E+04,9.91E+03,9.40E+03,8.88E+03,8.36E+03,7.84E+03,7.33E+03,6.81E+03,6.29E+03,5.77E+03,5.26E+03,4.74E+03,4.22E+03,3.70E+03,3.18E+03,2.67E+03,2.15E+03,1.63E+03,1.11E+03,
6.41E+03,6.14E+03,5.88E+03,5.62E+03,5.35E+03,5.09E+03,4.83E+03,4.57E+03,4.30E+03,4.04E+03,3.78E+03,3.51E+03,3.25E+03,2.99E+03,2.73E+03,2.46E+03,2.20E+03,1.94E+03,1.67E+03,1.41E+03,1.15E+03,
3.13E+03,3.13E+03,3.13E+03,3.13E+03,3.14E+03,3.14E+03,3.14E+03,3.14E+03,3.14E+03,3.14E+03,3.14E+03,3.14E+03,3.15E+03,3.15E+03,3.15E+03,3.15E+03,3.15E+03,3.15E+03,3.15E+03,3.15E+03,3.16E+03,
7.44E+01,3.10E+02,5.45E+02,7.80E+02,1.02E+03,1.25E+03,1.49E+03,1.72E+03,1.96E+03,2.19E+03,2.43E+03,2.66E+03,2.90E+03,3.13E+03,3.37E+03,3.60E+03,3.84E+03,4.07E+03,4.31E+03,4.54E+03,4.78E+03,
-2.98E+03,-2.50E+03,-2.02E+03,-1.53E+03,-1.05E+03,-5.69E+02,-8.69E+01,3.96E+02,8.78E+02,1.36E+03,1.84E+03,2.33E+03,2.81E+03,3.29E+03,3.77E+03,4.26E+03,4.74E+03,5.22E+03,5.70E+03,6.19E+03,6.67E+03,
-5.56E+03,-4.83E+03,-4.09E+03,-3.36E+03,-2.62E+03,-1.89E+03,-1.15E+03,-4.17E+02,3.18E+02,1.05E+03,1.79E+03,2.52E+03,3.26E+03,3.99E+03,4.73E+03,5.46E+03,6.20E+03,6.94E+03,7.67E+03,8.41E+03,9.14E+03,
-1.33E+04,-1.22E+04,-1.12E+04,-1.02E+04,-9.24E+03,-8.24E+03,-7.24E+03,-6.24E+03,-5.24E+03,-4.24E+03,-3.23E+03,-2.23E+03,-1.23E+03,-2.29E+02,7.73E+02,1.77E+03,2.78E+03,3.78E+03,4.78E+03,5.78E+03,6.78E+03,
-1.22E+04,-1.10E+04,-9.75E+03,-8.51E+03,-7.26E+03,-6.02E+03,-4.77E+03,-3.53E+03,-2.28E+03,-1.04E+03,2.07E+02,1.45E+03,2.70E+03,3.94E+03,5.19E+03,6.43E+03,7.67E+03,8.92E+03,1.02E+04,1.14E+04,1.27E+04,
-2.27E+04,-2.11E+04,-1.96E+04,-1.80E+04,-1.64E+04,-1.49E+04,-1.33E+04,-1.17E+04,-1.02E+04,-8.60E+03,-7.03E+03,-5.46E+03,-3.89E+03,-2.32E+03,-7.54E+02,8.15E+02,2.38E+03,3.95E+03,5.52E+03,7.09E+03,8.66E+03,
-2.91E+04,-2.73E+04,-2.55E+04,-2.37E+04,-2.19E+04,-2.01E+04,-1.82E+04,-1.64E+04,-1.46E+04,-1.28E+04,-1.10E+04,-9.15E+03,-7.33E+03,-5.52E+03,-3.70E+03,-1.88E+03,-6.30E+01,1.75E+03,3.57E+03,5.39E+03,7.21E+03,
-3.02E+04,-2.81E+04,-2.61E+04,-2.40E+04,-2.20E+04,-1.99E+04,-1.78E+04,-1.58E+04,-1.37E+04,-1.17E+04,-9.61E+03,-7.55E+03,-5.50E+03,-3.44E+03,-1.38E+03,6.81E+02,2.74E+03,4.80E+03,6.86E+03,8.92E+03,1.10E+04,
-2.16E+04,-1.93E+04,-1.70E+04,-1.47E+04,-1.24E+04,-1.00E+04,-7.72E+03,-5.41E+03,-3.10E+03,-7.83E+02,1.53E+03,3.84E+03,6.16E+03,8.47E+03,1.08E+04,1.31E+04,1.54E+04,1.77E+04,2.00E+04,2.24E+04,2.47E+04,
-3.59E+04,-3.33E+04,-3.08E+04,-2.82E+04,-2.56E+04,-2.31E+04,-2.05E+04,-1.79E+04,-1.54E+04,-1.28E+04,-1.03E+04,-7.69E+03,-5.12E+03,-2.56E+03,4.91E+00,2.57E+03,5.13E+03,7.70E+03,1.03E+04,1.28E+04,1.54E+04,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
